Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,,1150,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់
,0116(1),,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ ,ការដាំដុះដំណាំសរសៃ 
,,1160,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​
,0119​​(2),,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត
,,1191,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​
,,1192,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ,ការដាំដុះដំណាំសាគូ
,,1199,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​
12,,,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,ការដាំដុះដំណាំអចិន្ត្រៃយ៍
,121,,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ,ការដាំដុះដំណាំទំពាំងបាយជូរ
,,1210,ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣),ការដាំដុះដំណាំទំពាំងបាយជូរ (៣)
