Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,4665(2),,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី,ការលក់ដុំកាកសំណល់ និងកំទេចកម្ទី
,,46651,លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣),លក់ដុំកាកសំណល់ និងកំទេចកម្ទី(៣)
,,46652,ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤),ការរុះកម្ទេចរថយន្ត កុំព្យូទ័រ ទូរទស្សន៍ និងឧបករណ៍ផ្សេងៗទៀតដើម្បីយក និងលក់បន្តនូវផ្នែកណាមួយដែលប្រើប្រាស់បាន(៤)
,,46659,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ ,ការលក់ដុំកម្ទេចកំទី កាកសំណល់ និងផលិតផលផ្សេងៗ 
469,,,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស,ជំនួញលក់ដុំដោយមិនមានឯកទេស
,4690,,ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ),ជំនួញលក់ដុំមិនមានឯកទេស(ការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ)
,,46900,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ,ការលក់ដុំសម្រាប់ទំនិញទូទៅការលក់ដុំទំនិញច្រើនប្រភេទដោយមិនមានឯកទេសណាមួយ
471,,,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស,ការលក់រាយក្នុងហាងមិនឯកទស
,4711,,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់,ការលក់រាយក្នុងហាងមិនឯកទេស ភាគច្រើនជាចំណីអាហារ ភេសជ្ជៈឬផលិតផលថ្នាំជក់
,,47111,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស,ហាងលក់គឿងទេស
,,47112,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប,ផ្សារទំនើប
,,47113,ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១),ផ្សារទំនើបខ្នាតតូច(១)
,4719,,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស,លក់រាយផ្សេងទៀតនៅក្នុងហាងដែលមិនឯកទេស
,,47191,ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២),ផ្សារលក់ទំនិញធំៗដែលមាន ឬមិនមានផ្សារទំនើប(២)
,,47192,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស ,ការលក់រាយនៅក្នុងហាងមិនឯកទេស 
472,,,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស,ការលក់រាយអាហារ ភេសជ្ជៈ និងថ្នាំជក់ក្នុងហាងឯកទេស
,4721(3),,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស ,ការលក់រាយអាហារនៅក្នុងហាងឯកទេស 
,,47211,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ,ការលក់រាយនូវអង្ករ ម្សៅ គ្រាប់ធញ្ញជាតិ និងស្ករ
,,47212,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម ,ការលក់រាយបន្លែ និងផ្លែឈើស្រស់ ឬរក្សាទុកក្រៀម 
,,47213,ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី),ការលក់រាយសាច់ និងផលិតផលសាច់ (រួមទាំងបក្សី)
,,47214,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ ,ការលក់រាយត្រី គ្រឿងសមុទ្រ និងផលិតផលដូចនេះ 
,,47215,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង,ការលក់រាយ ផលិតផលនំប៉័ង
,,47216,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ ,ការលក់រាយផលិតផលស្ករគ្រាប់ និងនំ 
,,47217,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង,ការលក់រាយមី ស្បែក និងផលិតផលអាហារផ្សេងទៀតធ្វើពីម្សៅមី និងសណ្តែកសៀង
,,47219,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ,ការលក់រាយនូវផលិតផលអាហារផ្សេងៗ
,4722,,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស,ការលក់រាយភេសជ្ជៈនៅក្នុងហាងឯកទេស
,,47221,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត,ការលក់រាយនូវស្រាបៀរ ស្រា និងគ្រឿងស្រវឹងផ្សេងទៀត
,,47222,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត ,ការលក់រាយនូវតែ កាហ្វេ និងភេសជ្ជៈ ផ្សេងទៀត 
,,47223,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប,ការលក់រាយភេសជ្ជៈ និងទឹកច្រកដប
,4723,,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស,លក់រាយនូវផលិតផលថ្នាំជក់នៅក្នុងហាងឯកទេស
,,47230,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់,លក់រាយផលិតផលថ្នាំជក់និងថ្នាំជក់
473,,,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស ,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស 
,4730(1),,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស,ការលក់រាយប្រេងឥន្ធនៈយានយន្តនៅក្នុងហាងឯកទេស
,,47300,លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២),លក់រាយនូវប្រងឥន្ធនៈសម្រាប់យានយន្ត ឬទោចក្រយានយន្ត(២)
474,,,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស,ការលក់រាយឧបករណ៍ផ្នែកព័ត៌មាន និងទំនាក់ទំនងនៅក្នុងហាងឯកទេស
,4741(3),,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស,ការលក់រាយនូវកុំព្យូរទ័រ គ្រឿងកុំព្យូរទ័រ កម្មវិធីកុំព្យូរទ័រ និងឧបករណ៍ ទំនាក់ទំនងផ្សេងទៀតនៅក្នុងហាងឯកទស
,,47411,ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤),ការលក់រាយនូវកុំព្យូរទ័រ និងឧបករណ៍បន្ទាប់បន្សំ(៤)
